annualized_return_3.0,annualized_vol_3.0,sharpe_ratio_3.0,max_drawdown_3.0,profile_id,period,annualized_return_420_static,annualized_vol_420_static,sharpe_ratio_420_static,max_drawdown_420_static,delta_return,delta_vol,delta_sharpe,delta_sigma,sigma_mid,max_drawdown_tolerance,abs_delta_sigma_3.0,abs_delta_sigma_420_static
0.129950,0.090458,1.220051,-0.073725,C5_S3,3y,0.111177,0.101592,0.930505,-0.097230,0.018772,-0.011134,0.289546,-0.011134,0.112000,-0.250000,0.021542,0.010408
0.080375,0.089441,0.707553,-0.126841,C5_S3,5y,0.060836,0.101727,0.453369,-0.162300,0.019539,-0.012286,0.254184,-0.012286,0.112000,-0.250000,0.022559,0.010273
0.086647,0.087004,0.743440,-0.126841,C5_S3,10y,0.078014,0.098496,0.586435,-0.162300,0.008633,-0.011492,0.157005,-0.011492,0.112000,-0.250000,0.024996,0.013504
0.091523,0.136818,0.533015,-0.427043,C5_S3,20y,0.092420,0.157891,0.486772,-0.481228,-0.000897,-0.021073,0.046243,-0.021073,0.112000,-0.250000,0.024818,0.045891
0.241310,0.077508,2.672578,-0.007697,C5_S4,1y,0.263436,0.082484,2.733705,-0.006563,-0.022126,-0.004976,-0.061126,-0.004976,0.112000,-0.250000,0.034492,0.029516
0.122999,0.104180,1.012006,-0.096292,C5_S4,3y,0.134895,0.107079,1.086411,-0.095358,-0.011896,-0.002899,-0.074405,-0.002899,0.112000,-0.250000,0.007820,0.004921
0.069349,0.103981,0.522733,-0.163031,C5_S4,5y,0.077890,0.106508,0.587651,-0.163787,-0.008541,-0.002527,-0.064918,-0.002527,0.112000,-0.250000,0.008019,0.005492
0.083791,0.100758,0.628606,-0.163031,C5_S4,10y,0.089565,0.103270,0.667310,-0.163787,-0.005774,-0.002512,-0.038704,-0.002512,0.112000,-0.250000,0.011242,0.008730
0.095063,0.160600,0.496437,-0.488960,C5_S4,20y,0.097659,0.163549,0.505045,-0.496681,-0.002596,-0.002949,-0.008608,-0.002949,0.112000,-0.250000,0.048600,0.051549
0.239397,0.072882,2.816109,-0.004184,C5_S5,1y,0.263436,0.082484,2.733705,-0.006563,-0.024039,-0.009602,0.082404,-0.009602,0.104000,-0.250000,0.031118,0.021516
0.129950,0.090458,1.220051,-0.073725,C5_S5,3y,0.134895,0.107079,1.086411,-0.095358,-0.004945,-0.016621,0.133640,-0.016621,0.104000,-0.250000,0.013542,0.003079
0.080375,0.089441,0.707553,-0.126841,C5_S5,5y,0.077890,0.106508,0.587651,-0.163787,0.002485,-0.017066,0.119902,-0.017066,0.104000,-0.250000,0.014559,0.002508
0.086647,0.087004,0.743440,-0.126841,C5_S5,10y,0.089565,0.103270,0.667310,-0.163787,-0.002918,-0.016266,0.076130,-0.016266,0.104000,-0.250000,0.016996,0.000730
0.091523,0.136818,0.533015,-0.427043,C5_S5,20y,0.097659,0.163549,0.505045,-0.496681,-0.006136,-0.026731,0.027971,-0.026731,0.104000,-0.250000,0.032818,0.059549
0.239508,0.072621,2.827237,-0.004268,C5_S6,1y,0.239286,0.073149,2.804802,-0.004099,0.000222,-0.000528,0.022435,-0.000528,0.096000,-0.250000,0.023379,0.022851
0.131114,0.090216,1.234565,-0.072981,C5_S6,3y,0.128786,0.090707,1.205528,-0.074470,0.002328,-0.000491,0.029037,-0.000491,0.096000,-0.250000,0.005784,0.005293
0.081401,0.089173,0.720091,-0.125397,C5_S6,5y,0.079350,0.089715,0.695048,-0.128284,0.002052,-0.000543,0.025043,-0.000543,0.096000,-0.250000,0.006827,0.006285
0.087200,0.086835,0.750562,-0.125397,C5_S6,10y,0.086094,0.087179,0.736287,-0.128284,0.001106,-0.000344,0.014275,-0.000344,0.096000,-0.250000,0.009165,0.008821
0.092027,0.136660,0.536847,-0.425995,C5_S6,20y,0.091018,0.136981,0.529173,-0.428090,0.001008,-0.000320,0.007674,-0.000320,0.096000,-0.250000,0.040660,0.040981
0.239397,0.072882,2.816109,-0.004184,C5_S7,1y,0.239286,0.073149,2.804802,-0.004099,0.000111,-0.000267,0.011307,-0.000267,0.064000,-0.250000,0.008882,0.009149
0.129950,0.090458,1.220051,-0.073725,C5_S7,3y,0.128786,0.090707,1.205528,-0.074470,0.001164,-0.000249,0.014523,-0.000249,0.064000,-0.250000,0.026458,0.026707
0.080375,0.089441,0.707553,-0.126841,C5_S7,5y,0.079350,0.089715,0.695048,-0.128284,0.001026,-0.000274,0.012505,-0.000274,0.064000,-0.250000,0.025441,0.025715
0.086647,0.087004,0.743440,-0.126841,C5_S7,10y,0.086094,0.087179,0.736287,-0.128284,0.000553,-0.000175,0.007154,-0.000175,0.064000,-0.250000,0.023004,0.023179
0.091523,0.136818,0.533015,-0.427043,C5_S7,20y,0.091018,0.136981,0.529173,-0.428090,0.000504,-0.000163,0.003842,-0.000163,0.064000,-0.250000,0.072818,0.072981
