window,mean_return_3.0,mean_return_420_static,mean_sharpe_3.0,mean_sharpe_420_static,mean_abs_delta_sigma_3.0,mean_abs_delta_sigma_420_static,exceed_rate_maxdd_3.0,exceed_rate_maxdd_420_static
10y,0.071208,0.057425,0.947977,0.881090,0.024149,0.028995,0.000000,0.000000
1y,0.165026,0.117752,2.234751,2.041261,0.028416,0.039310,0.000000,0.000000
20y,0.071289,0.064798,0.670371,0.711687,0.032979,0.034187,0.714286,0.600000
3y,0.102545,0.074589,1.565310,1.461672,0.023306,0.028592,0.000000,0.000000
5y,0.071663,0.050715,1.172373,1.096024,0.023894,0.028754,0.000000,0.000000
